epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,147.41,0.44883,0.47252,0.83941,0.93302,1,0.995,0.84908,0.65226,0.42813,0.85982,0.000552612,0.000552612,0.000552612
121,148.578,0.45521,0.47176,0.84611,0.92729,1,0.995,0.84911,0.65488,0.43626,0.86435,0.000550256,0.000550256,0.000550256
122,149.762,0.48587,0.49336,0.86069,0.89993,1,0.995,0.84669,0.67506,0.46057,0.87286,0.0005479,0.0005479,0.0005479
123,150.928,0.45512,0.47104,0.83497,0.95898,0.93313,0.995,0.85915,0.65309,0.47465,0.87379,0.000545544,0.000545544,0.000545544
124,152.073,0.44692,0.47657,0.83788,0.97199,0.92608,0.995,0.8418,0.65749,0.47075,0.88857,0.000543187,0.000543187,0.000543187
125,153.239,0.44389,0.477,0.839,0.9789,0.92436,0.995,0.83729,0.66496,0.47077,0.89023,0.000540831,0.000540831,0.000540831
126,154.39,0.4664,0.47262,0.84222,0.97739,0.92586,0.995,0.83729,0.65486,0.46487,0.884,0.000538475,0.000538475,0.000538475
127,155.574,0.44162,0.45716,0.83814,0.97607,0.92583,0.995,0.84834,0.64983,0.46393,0.8712,0.000536119,0.000536119,0.000536119
128,156.728,0.43746,0.46172,0.84721,0.97437,0.92472,0.995,0.85765,0.66459,0.44864,0.8668,0.000533763,0.000533763,0.000533763
129,157.885,0.45769,0.46876,0.83371,0.97154,0.92447,0.995,0.85773,0.65049,0.44244,0.86309,0.000531406,0.000531406,0.000531406
130,159.05,0.45284,0.4697,0.84286,0.96959,0.92473,0.995,0.86085,0.62578,0.43508,0.86763,0.00052905,0.00052905,0.00052905
131,160.266,0.45607,0.47654,0.84413,0.96931,0.92528,0.995,0.85463,0.63003,0.43835,0.87303,0.000526694,0.000526694,0.000526694
132,161.429,0.43618,0.45728,0.83661,0.97125,0.92603,0.995,0.87393,0.61734,0.4267,0.87401,0.000524338,0.000524338,0.000524338
133,162.625,0.43398,0.45187,0.83979,0.97321,0.92894,0.995,0.88028,0.57932,0.41643,0.87359,0.000521982,0.000521982,0.000521982
134,163.78,0.47084,0.47004,0.8485,0.96437,0.93603,0.995,0.87303,0.57532,0.41721,0.87242,0.000519625,0.000519625,0.000519625
135,164.953,0.4055,0.43978,0.8376,0.95838,0.94447,0.995,0.88229,0.60257,0.42177,0.874,0.000517269,0.000517269,0.000517269
136,166.186,0.44623,0.45891,0.83973,0.95991,0.94263,0.995,0.86682,0.59427,0.4159,0.87334,0.000514913,0.000514913,0.000514913
137,167.421,0.42549,0.44587,0.83418,0.95111,0.94938,0.995,0.86984,0.59704,0.42055,0.87502,0.000512557,0.000512557,0.000512557
138,168.604,0.44501,0.4595,0.85615,0.95389,0.9562,0.995,0.85642,0.61682,0.4118,0.87337,0.000510201,0.000510201,0.000510201
139,169.769,0.42663,0.44628,0.83759,0.95477,0.95842,0.995,0.85338,0.63092,0.41394,0.8723,0.000507844,0.000507844,0.000507844
140,171.014,0.43207,0.46138,0.83577,0.94247,0.96841,0.995,0.84503,0.64717,0.41923,0.8936,0.000505488,0.000505488,0.000505488
141,172.291,0.42005,0.43276,0.83249,0.93581,0.993,0.995,0.85443,0.6489,0.41872,0.90085,0.000503132,0.000503132,0.000503132
142,173.497,0.43983,0.446,0.83465,0.94496,1,0.995,0.85747,0.62708,0.41355,0.87998,0.000500776,0.000500776,0.000500776
143,174.664,0.42481,0.4362,0.8364,0.94134,1,0.995,0.86985,0.61719,0.41414,0.86645,0.00049842,0.00049842,0.00049842
144,175.848,0.43436,0.44703,0.84391,0.92221,1,0.995,0.86656,0.6368,0.43579,0.86979,0.000496063,0.000496063,0.000496063
145,177.062,0.4262,0.44833,0.82531,0.89973,1,0.995,0.85022,0.66163,0.44799,0.89608,0.000493707,0.000493707,0.000493707
146,178.231,0.4331,0.44618,0.83752,0.89726,1,0.995,0.85607,0.64713,0.43733,0.88682,0.000491351,0.000491351,0.000491351
147,179.444,0.43078,0.44432,0.84939,0.90081,1,0.995,0.83432,0.63996,0.42645,0.87439,0.000488995,0.000488995,0.000488995
148,180.641,0.43866,0.42633,0.83206,0.92088,0.99567,0.995,0.85433,0.6337,0.41431,0.87429,0.000486639,0.000486639,0.000486639
149,181.825,0.41536,0.41675,0.81878,0.92363,0.98639,0.995,0.86055,0.63985,0.42201,0.88919,0.000484282,0.000484282,0.000484282
150,183.024,0.41605,0.42968,0.83451,0.92419,0.98863,0.995,0.85657,0.64758,0.424,0.893,0.000481926,0.000481926,0.000481926
151,184.176,0.42027,0.43468,0.84137,0.9188,1,0.995,0.87204,0.63377,0.40859,0.88176,0.00047957,0.00047957,0.00047957
152,185.341,0.41819,0.44095,0.8345,0.92513,0.98683,0.995,0.86371,0.6333,0.39909,0.87894,0.000477214,0.000477214,0.000477214
153,186.502,0.38955,0.42845,0.82343,0.95556,0.96899,0.995,0.88401,0.63361,0.41397,0.88544,0.000474858,0.000474858,0.000474858
154,187.666,0.40432,0.43062,0.82989,0.96115,0.97524,0.995,0.88411,0.61855,0.39647,0.8829,0.000472501,0.000472501,0.000472501
155,188.825,0.40825,0.42957,0.82282,0.96285,0.98766,0.995,0.88897,0.60884,0.39468,0.87524,0.000470145,0.000470145,0.000470145
156,189.987,0.43003,0.43246,0.84052,0.96525,0.99745,0.995,0.87541,0.60939,0.38906,0.87643,0.000467789,0.000467789,0.000467789
157,191.148,0.41869,0.44246,0.84149,0.96371,1,0.995,0.86297,0.62048,0.3891,0.88446,0.000465433,0.000465433,0.000465433
